feature_id,edition,area,feature,role,user_story,expected_behavior,entry_points,code_evidence,test_evidence,feature_status,test_status,error_status,fix_status,retest_status,priority,notes,last_reviewed
TICKET-007,shared + edition overlay,Attachments,Ticket attachments,Agent/Client,"As a user I want to upload, preview, download and delete allowed ticket attachments.","Upload enforces permissions and size, attaches files to ticket comments or records, and storage backend follows edition rules.",ticket detail attachments; api upload; attachment.php; image.php; delete-attachment API,includes/api/upload-handler.php; includes/upload-functions.php; includes/storage-functions.php; attachment.php; image.php; includes/components/ticket-detail-sidebar.php; assets/js/ticket-detail.js,tests/r2-storage-contract-test.php; tests/e2e/01-core.spec.js; tests/security-boundary-contract-test.php; tests/ticket-sidebar-surface-contract-test.php; tests/ticket-detail-js-contract-test.php,retested_pass,retested_pass,Attachment flow only had browser proof for upload/download; delete was indirect through deleting a comment and image preview was not covered by E2E.,"Added explicit delete-attachment API, attachment delete permission helper, sidebar delete action, JS handler, and E2E image preview/delete coverage.","Retested: upload two files, download text attachment, open image preview lightbox, delete attachment, assert DB row removed; JS/sidebar/security contracts passed.",P0,External R2 smoke remains tracked separately in STORAGE-001.,2026-06-21
TICKET-008,shared,Tickets,Tags,Agent,As an agent I want tags to classify and filter tickets consistently.,Tag API lists and updates ticket tags with normalized shared helper behavior and permission checks.,ticket detail/ticket list tags; api get-tags/update-tags,includes/api/ticket-handler.php; includes/ticket-crud-functions.php; includes/modules/tickets/ticket-list-filters.php,tests/ticket-tags-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,,Fixed tag autocomplete to use the shared normalizer and added targeted tag coverage.,Retested by tag contract and Playwright tag update/filter E2E.,P2,"Covers normalized create/update suggestions, permission/CSRF contract and ticket list filtering.",2026-06-21
SEARCH-001,shared,Search,Global search,User,"As a user I want search to find open and completed tickets, clients and relevant records from anywhere.",Global search groups results by type/status and does not limit results to the current agenda.,top search; api global-search; api search-tickets,includes/modules/search/global-search.php; includes/api/router.php; includes/api/ticket-handler.php,tests/global-search-test.php; tests/global-search-api-contract-test.php; tests/global-search-ui-contract-test.php,retested_pass,retested_pass,,,"Retested by global search unit, API, UI contracts and full core Playwright workflow.",P0,Regression target from search only showing current/open agenda.,2026-06-22
CLIENT-001,shared,Clients,Client center,Agent/Admin,"As an agent I want one client profile with contacts, active/done tickets, time and billing context.","Client detail reads shared overview stats, contacts, recent work, time this month, billable summary and rates.",pages/client.php; pages/admin/clients.php,pages/client.php; includes/modules/clients/client-overview.php,tests/client-overview-contract-test.php; tests/e2e/01-core.spec.js,retested_pass,retested_pass,,,"Retested by client overview contract and full core Playwright workflow including client-specific billable rate setup.",P0,"Client should be the center of context, not just a company table.",2026-06-22
ORG-001,shared,Clients,Companies and memberships,Admin,As an admin I want to manage companies and their user memberships safely.,Organization admin surfaces create/update/archive companies and APIs add/remove members with permission and tenant boundaries.,pages/admin/organizations.php; api org-add-user/org-remove-user,pages/admin/organizations.php; includes/api/user-handler.php,tests/security-boundary-contract-test.php; tests/e2e/04-permissions.spec.js,retested_pass,retested_pass,,,"Retested by SaaS security boundary contract and permissions Playwright suite.",P1,Naming should present Companies/Clients consistently in source language and translations.,2026-06-22
TEAM-001,shared,Team,Users and roles,Admin,"As an admin I want to manage staff/client users, roles, permissions, 2FA and status.","Users admin supports CRUD, role/permission changes, impersonation guardrails and archived-user safety.",pages/admin/users.php,pages/admin/users.php; includes/modules/team/team-users.php; includes/auth.php,tests/team-users-contract-test.php; tests/e2e/02-admin-security.spec.js; tests/e2e/04-permissions.spec.js,retested_pass,retested_pass,,,"Retested by team users contract, admin/security Playwright suite, and permissions Playwright suite.",P0,Permissions must match permission map and tenant/org scope.,2026-06-22
TEAM-002,shared,Team,AI agents and API tokens,Admin,As an admin I want to create AI agent identities and scoped tokens in one obvious flow.,"AI agent creation/editing exposes token creation, revocation and scopes near the agent, using the creator's permissions and clear copy.",pages/admin/users.php?tab=ai_agents; pages/admin/agent-connect.php,pages/admin/users.php; pages/admin/agent-connect.php; includes/api/agent-handler.php,tests/agent-api-control-contract-test.php; tests/agent-api-quickstart-contract-test.php; tests/team-users-contract-test.php,retested_pass,retested_pass,Reported UX failure: token permissions are not editable during token creation/editing in an intuitive place.,"Fixed: Agent Connect now shows token action scopes before token generation, persists selected scopes, and reads active token scopes instead of silently using hardcoded defaults.","Retested: team module contract, agent API contracts, admin UI contract, PHP lint, and local smoke passed.",P0,Keep live browser UX pass for the wider AI-agent settings surface under VISUAL-001.,2026-06-21
AGENT-001,shared,Agent API,Scoped assistant API,API client,"As a trusted assistant I want to create tickets, add time, comment and build reports only within granted permissions.","Bearer token auth maps to the token owner, enforces action scopes, rate limits, tenant/org scope and audit trail for agent endpoints.",api agent-* endpoints,includes/api/router.php; includes/api/agent-handler.php; docs/AGENT_API_CONTROL.md,tests/agent-api-control-contract-test.php; tests/agent-mcp-wrapper-contract-test.php; tests/agent-prod-smoke-contract-test.php,retested_pass,retested_pass,,,"Retested by agent API control, quickstart, MCP wrapper, production-smoke contract, and MCP smoke.",P0,Needed for Codex/Claude style assistant operation.,2026-06-22
APP-001,shared,App contract,Web/native app contract endpoints,Native app,"As a native app client I need stable endpoints for shell, home, tickets, detail, comments, timers, reports and notifications.",app-* endpoints return tenant-aware JSON contracts without relying on web-page HTML and stay source-language stable.,api app-* endpoints,includes/api/app-handler.php; includes/modules/app/app-contract.php,tests/app-contract-api-test.php; tests/app-home-contract-test.php; tests/native-app-api-freeze-contract-test.php,retested_pass,retested_pass,,,"Retested by app contract API, app home contract, and native API freeze contract.",P0,Foundation for future iOS/Android native apps.,2026-06-22
MOBILE-001,shared,Mobile API,Mobile authentication and devices,Mobile user,"As a mobile user I want secure login, refresh, 2FA and push device registration.","Mobile endpoints support login, optional 2FA, refresh/logout, current user, register/unregister device and push subscription state.",api mobile-* endpoints,includes/api/mobile-handler.php; includes/api/push-handler.php,tests/mobile-api-contract-test.php; tests/native-app-api-freeze-contract-test.php,retested_pass,retested_pass,,,"Retested by mobile API contract and native API freeze contract.",P1,Native app work should build on this API rather than scraping web UI.,2026-06-22
REPORT-001,shared,Reports,Report filters and query,Admin,As an admin I want to choose client and period and see all billable items for review.,Report query/filer modules return all matching time entries/items for the selected client/period without hiding items.,pages/admin/reports.php,includes/modules/reports/report-filters.php; includes/modules/reports/report-query.php; includes/modules/reports/reporting-flow.php,tests/report-filter-contract-test.php; tests/reporting-flow-contract-test.php,retested_pass,retested_pass,,,"Retested by report filter and reporting flow contracts plus core Playwright report workflow.",P0,Regression target from missing detailed monthly client items.,2026-06-22
REPORT-002,shared,Reports,Line item adjustments and live totals,Admin,"As an admin I want to edit each report line item rate, discount or amount before invoicing.",Each line item supports rate/discount overrides and totals recalculate live after every edit.,pages/admin/reports.php billing review,includes/modules/reports/billing-review.php; includes/modules/reports/report-adjustments.php; includes/modules/reports/report-totals.php,tests/billing-review-test.php; tests/report-adjustment-contract-test.php; tests/report-billing-review-js-contract-test.php,retested_pass,retested_pass,,,"Retested by billing review, report adjustment, report totals/export contracts, report billing-review JS contract, and core Playwright bulk adjustment workflow.",P0,"Must support per-item changes, not only bulk adjustments.",2026-06-22
REPORT-003,shared,Reports,Report share and export,Admin/Client,As an admin I want to share or export a reviewed client report safely.,"Share/export happens after review, uses scoped public tokens/themes and protects tenant/client data.",pages/report-share.php; pages/report-public.php; pages/report-theme.php,includes/modules/reports/report-export.php; includes/report-functions.php; pages/report-public.php,tests/report-export-contract-test.php; tests/e2e/03-update-report.spec.js,retested_pass,retested_pass,,,"Retested by report export contract and self-hosted update/report Playwright suite for public report token and expiry.",P1,Public report link expiry and theme should be included in runtime testing.,2026-06-22
RATE-001,shared,Reports,Agent/client rates,Admin,"As an admin I want different hourly rates by agent, client and ticket/item override.","Rate resolution supports default agent rate, client-specific agent rate, ticket-specific override and final item-level override.",reports billing review; client/admin rate settings,includes/modules/reports/reporting-flow.php; includes/modules/reports/billing-review.php,tests/report-rate-parity-contract-test.php,retested_pass,retested_pass,,,"Retested by report rate parity contract and core Playwright workflow that sets a per-agent client billable rate.",P0,Required by user billing workflow.,2026-06-22
BILLING-001,saas,Billing,Workspace billing page,Workspace admin,As a workspace admin I want to see trial/paid/free/past-due state and the next clear action.,"Billing page shows only workspace billing actions, hides platform-only controls, and uses clear customer-facing state text.",pages/billing.php,pages/billing.php; includes/billing-functions.php,tests/billing-lifecycle-contract-test.php; tests/billing-usage-counters-contract-test.php,retested_pass,retested_pass,,,"Retested by billing lifecycle contract and billing usage counters contract.",P0,No confusing internal restricted/activate copy for active/free tenants.,2026-06-22
BILLING-002,saas,Billing,"Stripe checkout, portal, tax and VAT",Workspace admin,"As a workspace admin I want to add billing details, VAT ID and manage subscription securely.","Stripe checkout/portal/webhook support trial conversion, VAT/tax, cancellation, failed payment recovery and usage/state updates.",pages/stripe-webhook.php; pages/billing.php; Stripe portal,includes/billing-functions.php; pages/stripe-webhook.php; docs/STRIPE_BILLING.md; bin/test-stripe-billing-flow.php,tests/stripe-beta-configurator.test.js; tests/billing-lifecycle-contract-test.php; tests/stripe-billing-flow-smoke-contract-test.php; production bin/test-stripe-billing-flow.php --json,testing,needs_external_smoke,"Production live validation originally failed on idempotent already_reported usage; fixed validate-stripe-usage.php so already_reported is accepted as a valid live validation result.","Added and deployed production-safe Stripe billing smoke that creates a temporary tenant/customer, opens Checkout, verifies automatic tax, VAT ID collection, base/storage line items, success/cancel return URLs and Customer Portal host, then expires Checkout and deletes the temporary customer/tenant.","Production live smoke passed: key_mode=live, checkout_host=checkout.stripe.com, portal_host=billing.stripe.com, automatic_tax/tax_id_collection/base price/storage price checks true, checkout expired, Stripe customer deleted, DB cleaned. Still needs intentional full checkout completion with card, webhook processing, VAT ID entry/reverse-charge behavior, cancellation, failed-payment and recovery path before marking BILLING-002 retested_pass.",P0,Do not create duplicate live checkout sessions for an active paid workspace without a controlled test tenant/card scenario.,2026-06-22
PLATFORM-001,saas,Platform,Operator console,Platform admin,As Aenze platform admin I want a separate console for all tenants and lifecycle state.,"Platform console is host-separated, compact, platform-admin-only and never shown to normal workspace admins.",platform.foxdesk.net; pages/platform.php,pages/platform.php; includes/modules/platform/operator-console.php; index.php host routing,tests/platform-operator-detail-contract-test.php; tests/operator-audit-contract-test.php; tests/platform-workspace-host-contract-test.php,retested_pass,retested_pass,,,"Retested by platform operator detail contract, operator audit contract, and platform/workspace host contract.",P0,Must remain visually and functionally separate from customer workspace.,2026-06-22
PLATFORM-002,saas,Platform,Tenant lifecycle and free override,Platform admin,"As Aenze platform admin I want to activate, suspend, set free override and inspect billing/migration state.",Tenant detail shows lifecycle actions appropriate to current state and never offers nonsensical duplicate actions.,pages/platform.php tenant detail,includes/modules/platform/operator-console.php; includes/billing-functions.php; pages/platform.php,tests/platform-operator-detail-contract-test.php; tests/billing-lifecycle-contract-test.php; tests/operator-audit-contract-test.php; tests/e2e/05-saas-control-plane.spec.js,retested_pass,retested_pass,"Platform catalog/detail rendered lifecycle buttons from hardcoded status checks, so active/free states could still show duplicate Free access or trial actions.",Platform action rendering now uses billing_tenant_lifecycle_state platform_buttons; manual/free tenants only show valid operator actions and active paid tenants do not show trial/reactivate actions.,"Retested: free override E2E, trial lifecycle E2E, billing lifecycle contract, operator detail contract, and operator audit contract passed.",P0,External Stripe checkout/portal smoke remains tracked separately in BILLING-002.,2026-06-21
MIGRATION-001,saas + self-hosted,Migration,Self-hosted to SaaS sync bridge,Admin/Operator,As an admin I want to sync my self-hosted FoxDesk to SaaS and then cut over to one running instance.,"Migration connect/plan/status/push endpoints sync users, clients, tickets, comments, time entries, reports and evidence without duplicates.",api migration-*; self-hosted migration export/source,includes/api/migration-handler.php; includes/migration-functions.php; docs/SELF_HOSTED_TO_SAAS_MIGRATION.md,tests/migration-bridge-contract-test.php; tests/cloud-migration-bridge-contract-test.php; tests/cutover-preflight.test.js,retested_pass,retested_pass,,,"Retested by SaaS migration bridge contract, cloud migration bridge contract, cutover preflight test, and migration ZIP security E2E.",P0,ZIP import remains fallback; API sync is target flow.,2026-06-22
MIGRATION-002,saas + self-hosted,Migration,Attachment sync and cutover,Admin/Operator,As an admin I want attachments synced with evidence and self-hosted disabled after cutover.,"Attachment sync uses tenant-prefixed SaaS keys, counts bytes/files, avoids duplicate imports and final cutover disables old ingest/notifications.",api migration-push-attachment; cutover tools,includes/api/migration-handler.php; includes/storage-functions.php; bin/cutover-*,tests/cutover-gate.js; tests/cutover-postcheck.test.js; tests/cutover-evidence-verifier.test.js; tests/e2e/05-saas-control-plane.spec.js,retested_pass,retested_pass,Attachment upload bridge had only static contracts and no runtime proof of attachment evidence or duplicate prevention.,Added Playwright runtime coverage for bearer-token migration attachment upload source-to-target ticket remapping connection evidence and idempotent repeat upload.,Retested by SaaS control-plane E2E posting multipart attachment through migration-push-attachment and checking attachment row object map checksum byte counters and second-run no duplicate behavior.,P0,Production cutover still requires operator evidence from cutover gate/preflight/postcheck before DNS or self-hosted ingest changes.,2026-06-22
EMAIL-001,shared + edition overlay,Email,Outbound notification policy,User,"As a user I want useful emails, not three emails for one action.","Notification policy deduplicates user actions so one action produces at most one meaningful email, with consistent templates and readable formatting.",ticket actions; signup/reset/billing emails,includes/mailer.php; includes/modules/notifications/notification-policy.php; includes/modules/email/email-renderer.php,tests/notification-policy-test.php; tests/email-notification-contract-test.php; tests/email-format-test.php; tests/email-voice-contract-test.php,retested_pass,retested_pass,Reported product failure: creating and assigning a ticket to yourself can send multiple redundant emails with inconsistent formatting.,"Verified: policy suppresses staff requester confirmations and self-assignment, collapses created+assigned events, and ticket emails use the shared HTML renderer.","Retested: notification policy, email notification contract, email formatting, and email voice contracts passed.",P0,"If production still sends duplicate emails, verify deployed self-hosted version and email template overrides against this code path.",2026-06-21
EMAIL-002,saas,Email,Cloudflare inbound email routing,Customer/Agent,As a customer I want replies sent to support email to become ticket replies in the right workspace.,"Cloudflare inbound route authenticates expected webhook, maps address/tenant/thread, creates or updates ticket and stores formatted content.",cf-email-ingest; Cloudflare Email Routing,includes/api/cloudflare-email-handler.php; includes/email-routing-functions.php,tests/email-routing-plus-address-contract-test.php; tests/email-format-test.php,retested_pass,retested_pass,"Earlier local env was SMTP-only, but production now has Cloudflare provider/account/token/from/reply-to configured.","Verified on production: outbound signup/reset/new-ticket/ticket-reply/billing messages sent to lh@aenze.com through direct Cloudflare; inbound archive smoke created a temporary ticket reply, ingested the attachment, wrote raw email and attachment keys to R2, and cleaned DB.","Retested by production Cloudflare outbound smoke and bin/test-cloudflare-inbound-archive.php --json --timeout=120.",P0,"Production inbound evidence: ticket reply address tickets+tk-718-...@foxdesk.net, raw/attachment archived under foxdesk-email-archive, DB cleaned.",2026-06-22
EMAIL-003,self-hosted,Email,IMAP ingest and pseudo-cron fallback,Admin,As a self-hosted admin I want inbound email fetched automatically even without server cron.,IMAP ingest runs by CLI cron or pseudo-cron at configured interval; manual test remains diagnostics only.,bin/ingest-emails.php; includes/pseudo-cron.php,includes/email-ingest-functions.php; includes/pseudo-cron.php; bin/ingest-emails.php,tests/pseudo-cron-email-test.php; tests/email-format-test.php,retested_pass,retested_pass,,,"Retested by pseudo-cron email contract and email formatting contract.",P0,Self-hosted-only operating mode; SaaS should use Cloudflare inbound.,2026-06-22
NOTIF-001,shared,Notifications,Notification center,User,As a user I want a bell summary and a full notification page without duplicate navigation.,Bell shows unread count and links to all notifications; left nav should avoid duplicating the same destination if design requires simplification.,top notification bell; pages/notifications.php,pages/notifications.php; includes/api/notification-handler.php,tests/admin-ui-contract-test.php; tests/app-shell-visual-contract-test.php; tests/email-notification-contract-test.php,retested_pass,retested_pass,Reported UX failure: notifications were duplicated in left navigation even though they are also reachable from the top bell.,"Fixed: removed Notifications from left sidebar, removed sidebar notification badge target, and added View all link in notification panel.","Retested: admin-ui contract, app-shell visual contract, and local smoke passed.",P1,Notification page remains reachable from the top bell panel and direct URL.,2026-06-21
SETTINGS-001,shared,Settings,General settings,Admin,"As an admin I want to set app name, language, ticket prefix and basic preferences.",Settings general section saves validated values and keeps helper copy minimal and customer-facing.,pages/admin/settings.php?tab=general,pages/admin/settings.php; includes/modules/settings/settings-actions.php; includes/modules/settings/settings-view-model.php,tests/settings-action-contract-test.php; tests/settings-render-contract-test.php,retested_pass,retested_pass,,,"Retested by settings action contract, settings render contract, admin UI contract, and admin/security Playwright settings layout check.",P1,Avoid duplicate admin nav levels and excessive explanatory copy.,2026-06-22
SETTINGS-002,shared + edition overlay,Settings,Email settings,Admin,As an admin I want to configure outbound/inbound email according to edition.,Email settings validate SMTP/Cloudflare/IMAP fields by edition and provide test actions without exposing irrelevant controls.,pages/admin/settings.php email tab; api test-smtp,includes/modules/settings/settings-email.php; includes/api/smtp-handler.php,tests/settings-email-contract-test.php; tests/email-policy,retested_pass,retested_pass,,,"Retested by settings email contract and email policy contracts.",P0,SaaS managed email should not show self-hosted-only IMAP setup as normal flow.,2026-06-22
